caseid,ftobama,ftblack,ftwhite,fthisp,ftgay,fttrump,fthrc,ftcruz,ftsanders,ftpolice,ftfem,fttrans,ftmuslim,ftsci,reg,demcand,repcand,vote16dt,presjob,lazyb,lazyw,lazyh,lazym,violentb,violentw,violenth,violentm,econnow
940,1,100,98,50,1,51,1,76,71,99,1,1,50,75,1,3,2,9,7,5,5,5,5,5,5,5,5,4
941,41,65,28,19,99,48,6,19,19,39,47,29,20,85,1,5,11,4,4,2,5,1,3,3,3,3,3,4
942,31,60,78,71,50,71,22,85,71,31,51,51,17,92,1,3,4,2,5,4,5,4,4,3,4,4,3,2
943,54,64,82,84,77,40,90,68,57,29,76,44,60,88,2,5,10,3,3,8,8,2,4,8,3,8,4,3
944,39,25,63,3,5,94,39,27,21,43,38,7,2,91,1,1,9,2,1,3,2,4,5,2,2,3,5,3
945,99,50,52,51,61,66,71,41,73,48,68,61,62,68,1,1,9,9,2,5,5,5,5,5,5,5,5,3
946,80,40,100,34,88,17,46,51,82,98,91,69,1,63,1,3,11,1,2,2,4,4,3,1,4,3,1,3
947,64,62,50,66,50,9,84,25,39,44,50,50,50,62,1,1,11,1,3,5,5,5,5,5,5,5,5,3
948,2,53,49,7,43,62,2,14,8,8,3,48,1,83,3,4,5,2,4,1,1,1,1,1,1,1,1,3
949,0,100,0,100,100,100,0,0,60,0,100,100,2,1,1,4,2,2,7,1,1,1,1,4,4,5,1,5
950,2,44,89,36,16,1,2,91,3,100,38,6,8,16,1,5,8,9,7,2,5,5,2,1,5,2,1,4
951,94,100,47,100,100,0,81,1,100,79,100,100,100,100,1,3,7,9,2,5,5,5,5,4,4,4,4,1
952,83,96,98,83,100,50,11,77,98,96,38,96,85,94,1,3,9,9,3,4,3,4,5,2,4,3,4,1
953,10,47,91,66,8,98,5,68,1,97,45,8,3,54,1,4,9,9,7,1,5,5,2,2,5,5,1,3
954,100,95,47,90,100,0,70,998,100,46,100,100,91,100,1,3,11,9,1,5,3,5,5,5,2,5,5,1
955,76,58,59,99,94,2,60,3,99,59,58,87,50,100,1,3,7,9,1,2,4,5,5,2,3,3,2,3
956,96,77,74,78,78,0,63,40,97,21,77,88,76,91,2,3,11,9,2,2,3,5,4,4,4,5,5,4
957,19,50,50,50,100,60,0,52,60,11,11,100,51,95,1,3,9,9,6,5,5,5,5,5,5,5,5,5
